SUSE Linux Enterprise
""
SUSE S.A.
Linux (Unix-like)
Current
Open source
"June 24, 2025; 3 months ago"
15-SP7[1] [2][3]
"Commercial market (include mainframes, servers, workstations, supercomputers)"
Multilingual
"Zypper, YaST2"
RPM Package Manager
"IA-32 (except SLES 12 and 15), x86-64, ARM32, ARM64, s390x, IBM Power, IBM Z"
Monolithic (Linux)
GNU
GNOME[4][5]
GNU General Public License and various
www.suse.com/products/server/ www.suse.com/products/desktop/
