Oracle Linux 10
""
Oracle Linux 9.5
Oracle Corporation
Linux (Unix-like)
Current
Open source
4.5 / 26 October 2006; 18 years ago
10.0[1] [2] / 26 June 2025; 3 months ago
Enterprise and Cloud computing
YUM (PackageKit)[3]
RPM Package Manager
"IA-32, x86-64, SPARC, ARM64[4]"
Monolithic (Linux)
GNOME and KDE (user-selectable)
GNU GPL & various others.
oracle.com/linux
